utc_time,url,method,user_agent,status,redirect_chain,content_type,size,sha256,local_path,login_required,independent_review
"20260805T073642Z","https://m.weibo.cn/detail/5323616788681841","GET","desktop","000","https://m.weibo.cn/detail/5323616788681841","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073642Z_https___m.weibo.cn_detail_5323616788681841_GET_desktop_nofollow.body","unknown","yes/partial"
"20260805T073642Z","https://m.weibo.cn/detail/5323616788681841","GET","mobile","000","https://m.weibo.cn/detail/5323616788681841","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073642Z_https___m.weibo.cn_detail_5323616788681841_GET_mobile_nofollow.body","unknown","yes/partial"
"20260805T073642Z","https://m.weibo.cn/detail/5323616788681841","GET","desktop","000","https://m.weibo.cn/detail/5323616788681841","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073642Z_https___m.weibo.cn_detail_5323616788681841_GET_desktop_follow.body","unknown","yes/partial"
"20260805T073643Z","https://m.weibo.cn/detail/5323616788681841","GET","mobile","000","https://m.weibo.cn/detail/5323616788681841","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073643Z_https___m.weibo.cn_detail_5323616788681841_GET_mobile_follow.body","unknown","yes/partial"
"20260805T073643Z","https://m.weibo.cn/detail/5323616788681841","HEAD","desktop","000","https://m.weibo.cn/detail/5323616788681841","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073643Z_https___m.weibo.cn_detail_5323616788681841_HEAD_desktop_nofollow.body","unknown","yes/partial"
"20260805T073643Z","https://m.weibo.cn/detail/5323616788681841","HEAD","mobile","000","https://m.weibo.cn/detail/5323616788681841","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073643Z_https___m.weibo.cn_detail_5323616788681841_HEAD_mobile_nofollow.body","unknown","yes/partial"
"20260805T073643Z","https://m.weibo.cn/detail/5323616788681841","HEAD","desktop","000","https://m.weibo.cn/detail/5323616788681841","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073643Z_https___m.weibo.cn_detail_5323616788681841_HEAD_desktop_follow.body","unknown","yes/partial"
"20260805T073643Z","https://m.weibo.cn/detail/5323616788681841","HEAD","mobile","000","https://m.weibo.cn/detail/5323616788681841","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073643Z_https___m.weibo.cn_detail_5323616788681841_HEAD_mobile_follow.body","unknown","yes/partial"
"20260805T073643Z","https://www.sina.cn/news/detail/5323616788681841.html","GET","desktop","000","https://www.sina.cn/news/detail/5323616788681841.html","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073643Z_https___www.sina.cn_news_detail_5323616788681841.html_GET_desktop_nofollow.body","unknown","yes/partial"
"20260805T073643Z","https://www.sina.cn/news/detail/5323616788681841.html","GET","mobile","000","https://www.sina.cn/news/detail/5323616788681841.html","","0","","weibo_forensics_5323616788681841/raw/http/20260805T073643Z_https___www.sina.cn_news_detail_5323616788681841.html_GET_mobile_nofollow.body","unknown","yes/partial"
